measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Southern Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.0016270471766286774,0.0019355764258931932,0.001398745392207146
Deaths,Southern Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.0016450963435400245,0.0019574014598910954,0.0014170841002524807
Deaths,Central Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,6893.99141214692,11071.071405369574,3935.86048347394
Deaths,Central Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,11.83839976256544,19.011304375248177,6.75868115108925
Deaths,Central Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,11.027678043135632,17.754241550840327,6.075915157829848
Deaths,North Africa and Middle East,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,950.3142281868348,1493.0870684199053,526.1781083587592
Deaths,North Africa and Middle East,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.26709108702404927,0.41964040556006543,0.1478852770603462
Deaths,North Africa and Middle East,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.2642739638350621,0.4083705316703276,0.14703165429428924
Deaths,Central Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,6.699015037411129,10.639943964679958,3.960339711596848
Deaths,Central Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.009555129776447254,0.015176267679484583,0.00564882444535453
Deaths,Central Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.009146941901828024,0.014697574280551257,0.005307252750116944
Deaths,Global,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,49877.81240556962,78641.19627732341,28513.2782750451
Deaths,Global,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.920847118077727,1.4518784096888668,0.5264138273151607
Deaths,Global,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.8712935916330616,1.3613737851434782,0.5001967437652278
