measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44635,High SDI,3,Both,20,75-79 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.05487742792705074,0.07436969877033978,0.04190482654828375
1,Deaths,44635,High SDI,1,Male,30,80-84 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,10.884854138877614,14.465479446608889,8.351286382513944
1,Deaths,44635,High SDI,2,Female,30,80-84 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,9.565501959645198,14.42342376221928,6.542018965337694
1,Deaths,44635,High SDI,3,Both,30,80-84 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,20.45035609852279,28.050591701525057,15.169812447297947
1,Deaths,44635,High SDI,1,Male,30,80-84 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.09603587176138689,0.12762733532088996,0.07368248190015954
1,Deaths,44635,High SDI,2,Female,30,80-84 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.061167731227529984,0.09223228553924442,0.04183371238073767
1,Deaths,44635,High SDI,3,Both,30,80-84 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.07581983051736475,0.1039977542921639,0.056242179998881404
1,Deaths,44635,High SDI,1,Male,31,85-89 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,9.820379024372222,12.648297931595058,7.502974936247839
1,Deaths,44635,High SDI,2,Female,31,85-89 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,9.385469590648107,13.42452487906248,6.290507496705367
1,Deaths,44635,High SDI,3,Both,31,85-89 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,19.205848615020315,25.462331938878346,14.0966858721608
1,Deaths,44635,High SDI,1,Male,31,85-89 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.15906364581616797,0.20486830267706674,0.12152795170787249
1,Deaths,44635,High SDI,2,Female,31,85-89 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.09090756477744653,0.13002981398670127,0.060929792826729195
1,Deaths,44635,High SDI,3,Both,31,85-89 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.11641278712620101,0.15433533228097765,0.0854445187252688
1,Deaths,44635,High SDI,1,Male,32,90-94 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,6.5209962647426085,8.71791531300381,4.965649944700869
1,Deaths,44635,High SDI,2,Female,32,90-94 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,7.631069563080774,10.951936692451955,5.101561975614126
1,Deaths,44635,High SDI,3,Both,32,90-94 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,14.152065827823385,19.157766729958134,10.359010933379327
1,Deaths,44635,High SDI,1,Male,32,90-94 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.27022357563925276,0.36126170792908274,0.20577157675812432
1,Deaths,44635,High SDI,2,Female,32,90-94 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.14525867123910285,0.20847192628631878,0.09710907595533295
1,Deaths,44635,High SDI,3,Both,32,90-94 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.18459327865345093,0.2498854241766116,0.1351183505690022
1,Deaths,44635,High SDI,1,Male,235,95+ years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.5918179617734944,3.9241791373729655,1.760758902537778
1,Deaths,44635,High SDI,2,Female,235,95+ years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.9618089165803836,5.959937677054703,2.518234462242463
1,Deaths,44635,High SDI,3,Both,235,95+ years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,6.553626878353873,9.792749054386025,4.370630118298714
1,Deaths,44635,High SDI,1,Male,235,95+ years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.3654656490956616,0.553338504771501,0.24828012796724763
1,Deaths,44635,High SDI,2,Female,235,95+ years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.1922211501979536,0.289167423142764,0.12218103775135726
